lambda,Cp_Smart,Cp_Comercial,Ct_Smart,Ct_Comercial
1.0,0.008569631141744232,0.007300737173067678,0.08257924550787096,0.10195846739815577
1.4761904761904763,0.020430877569483682,0.018762657668810197,0.0978824906311663,0.12096587282244325
1.9523809523809523,0.04125439348631167,0.03941150797723321,0.12217010328102508,0.15035093773889685
2.4285714285714284,0.07416748809490839,0.07232577220338852,0.15792171217952966,0.19288784389652097
2.9047619047619047,0.12238373554048748,0.11984996026539782,0.20872878058846966,0.25187017250191723
3.380952380952381,0.18148601852222196,0.18331333824330287,0.27184479883364865,0.32971547730127226
3.8571428571428568,0.24140658713317134,0.2603536607157929,0.3394312201308607,0.4269356938101896
4.333333333333333,0.29607892367466054,0.3379065365953284,0.4070814215223582,0.5319369366573363
4.809523809523809,0.33849459084868055,0.40026801434619114,0.465392272004485,0.6287777836531131
5.285714285714286,0.37197251037948964,0.44037829837726183,0.516813806606193,0.7085108200874827
5.761904761904762,0.40244866667365486,0.462028168112681,0.5677772149983338,0.7741855799992456
6.238095238095238,0.43554134794423316,0.46949211540501773,0.6291411842851232,0.8296670139745485
6.7142857142857135,0.46190559615727034,0.46281728146571416,0.6914363973237564,0.8720934236692628
7.19047619047619,0.471474963923747,0.4459524611021958,0.7293586416433859,0.9090384715157945
7.666666666666666,0.4743588531081373,0.42614948714467515,0.7575322641074246,0.9471062802879527
8.142857142857142,0.473426022218597,0.40414970256038013,0.7814583048419108,0.9865378171213534
8.619047619047619,0.46974808403151647,0.3798329003181203,0.802854074053314,1.026142125130829
9.095238095238095,0.4621524057209758,0.3527979387867851,0.8209062258447951,1.0663826525324245
9.571428571428571,0.4511544133612783,0.3226521796091506,0.8360655552004932,1.1073127743229216
10.047619047619047,0.43663456342859025,0.2895396800646604,0.8491492503859368,1.1482370989317017
10.523809523809524,0.41922573627234216,0.2535858216404039,0.860443592867764,1.188723202309315
11.0,0.3999748536828658,0.2145107965775972,0.8707231240031231,1.2291839967008862
